x
                                Người thứ 1   Người thứ 2   Người thứ 3   Người thứ 4   Người thứ 5   Người thứ 6   Người thứ 7   Người thứ 8   Người thứ 9   Người thứ 10   Kết quả trung bình
Lần lấy mẫu giả lập thứ 493              56            60            56            71            56            73            56            88            45             89                 65.0
Lần lấy mẫu giả lập thứ 494              49            49            71            88            55            45            55            88            89             69                 65.8
Lần lấy mẫu giả lập thứ 495              49            55            89            60            56            56            71            89            45             88                 65.8
Lần lấy mẫu giả lập thứ 496              89            55            56            56            56            69            55            88            69             71                 66.4
Lần lấy mẫu giả lập thứ 497              56            49            89            71            45            73            88            88            56             45                 66.0
Lần lấy mẫu giả lập thứ 498              71            45            56            55            56            69            89            60            55             89                 64.5
Lần lấy mẫu giả lập thứ 499              60            55            49            69            45            56            89            71            71             55                 62.0
Lần lấy mẫu giả lập thứ 500              45            55            89            69            69            60            45            89            71             45                 63.7
Lần lấy mẫu giả lập thứ 501              55            56            60            45            55            89            69            45            45             69                 58.8
Lần lấy mẫu giả lập thứ 502              69            49            69            69            69            89            71            71            71             88                 71.5
Lần lấy mẫu giả lập thứ 503              56            89            69            71            71            88            71            69            73             69                 72.6
Lần lấy mẫu giả lập thứ 504              56            69            73            73            69            60            45            45            71             49                 61.0
Lần lấy mẫu giả lập thứ 505              71            55            55            45            89            56            56            60            60             49                 59.6
Lần lấy mẫu giả lập thứ 506              71            73            69            55            60            89            60            88            56             88                 70.9
Lần lấy mẫu giả lập thứ 507              73            56            88            89            73            88            73            71            71             56                 73.8
Lần lấy mẫu giả lập thứ 508              69            55            45            71            88            55            60            55            71             71                 64.0
Lần lấy mẫu giả lập thứ 509              73            55            45            60            55            73            49            60            56             56                 58.2
Lần lấy mẫu giả lập thứ 510              69            71            56            55            89            71            73            73            73             56                 68.6
Lần lấy mẫu giả lập thứ 511              69            88            89            88            73            55            89            69            45             69                 73.4
Lần lấy mẫu giả lập thứ 512              71            60            69            69            88            69            88            60            89             55                 71.8
Lần lấy mẫu giả lập thứ 513              45            71            56            55            55            49            55            45            73             55                 55.9
Lần lấy mẫu giả lập thứ 514              71            88            45            49            55            71            89            71            69             73                 68.1
Lần lấy mẫu giả lập thứ 515              88            88            45            55            55            55            56            88            56             69                 65.5
Lần lấy mẫu giả lập thứ 516              71            89            69            49            88            71            49            89            55             60                 69.0
Lần lấy mẫu giả lập thứ 517              60            71            71            73            88            49            45            60            60             49                 62.6
Lần lấy mẫu giả lập thứ 518              45            69            71            88            55            88            69            89            49             89                 71.2
Lần lấy mẫu giả lập thứ 519              88            55            71            71            49            73            49            45            89             60                 65.0
Lần lấy mẫu giả lập thứ 520              89            69            73            56            60            88            60            49            88             89                 72.1
Lần lấy mẫu giả lập thứ 521              49            55            56            73            73            60            49            69            89             60                 63.3
Lần lấy mẫu giả lập thứ 522              89            89            89            71            73            56            56            55            45             56                 67.9
Lần lấy mẫu giả lập thứ 523              89            60            56            45            69            49            55            71            73             73                 64.0
Lần lấy mẫu giả lập thứ 524              73            69            49            71            56            71            45            69            88             88                 67.9
Lần lấy mẫu giả lập thứ 525              45            49            45            49            71            56            60            56            60             69                 56.0
Lần lấy mẫu giả lập thứ 526              71            56            69            69            45            60            69            89            49             69                 64.6
Lần lấy mẫu giả lập thứ 527              49            89            73            55            60            49            60            69            89             89                 68.2
Lần lấy mẫu giả lập thứ 528              49            56            89            88            60            56            71            69            55             73                 66.6
Lần lấy mẫu giả lập thứ 529              71            89            60            45            88            88            69            55            60             71                 69.6
Lần lấy mẫu giả lập thứ 530              60            89            49            89            55            55            56            55            73             73                 65.4
Lần lấy mẫu giả lập thứ 531              73            89            69            56            71            71            71            89            49             73                 71.1
Lần lấy mẫu giả lập thứ 532              45            69            89            69            89            45            60            56            69             73                 66.4
Lần lấy mẫu giả lập thứ 533              71            45            60            60            56            60            73            56            55             49                 58.5
Lần lấy mẫu giả lập thứ 534              60            88            45            73            49            60            49            56            69             49                 59.8
Lần lấy mẫu giả lập thứ 535              89            69            56            73            49            71            69            71            71             56                 67.4
Lần lấy mẫu giả lập thứ 536              69            45            60            89            49            49            73            60            89             55                 63.8
Lần lấy mẫu giả lập thứ 537              55            73            45            45            88            55            55            45            45             69                 57.5
Lần lấy mẫu giả lập thứ 538              56            69            60            60            49            49            88            56            55             89                 63.1
Lần lấy mẫu giả lập thứ 539              60            71            49            60            69            49            45            45            89             55                 59.2
Lần lấy mẫu giả lập thứ 540              55            73            60            71            49            55            71            89            60             45                 62.8
Lần lấy mẫu giả lập thứ 541              88            56            45            89            55            89            89            60            73             69                 71.3
Lần lấy mẫu giả lập thứ 542              56            73            69            45            45            73            89            88            56             73                 66.7
Lần lấy mẫu giả lập thứ 543              55            55            69            45            88            60            55            69            71             60                 62.7
Lần lấy mẫu giả lập thứ 544              56            69            55            73            60            69            60            60            69             49                 62.0
Lần lấy mẫu giả lập thứ 545              56            60            89            45            56            56            45            55            71             55                 58.8
Lần lấy mẫu giả lập thứ 546              45            55            73            71            45            45            69            71            56             60                 59.0
Lần lấy mẫu giả lập thứ 547              73            60            88            49            55            45            60            56            71             49                 60.6
Lần lấy mẫu giả lập thứ 548              89            71            71            88            89            69            73            89            56             60                 75.5
Lần lấy mẫu giả lập thứ 549              88            71            88            71            45            73            69            56            71             56                 68.8
Lần lấy mẫu giả lập thứ 550              45            45            55            89            88            45            49            89            45             56                 60.6
Lần lấy mẫu giả lập thứ 551              56            71            71            60            60            73            49            60            89             56                 64.5
Lần lấy mẫu giả lập thứ 552              60            71            88            60            55            56            88            89            55             89                 71.1
Lần lấy mẫu giả lập thứ 553              56            71            88            71            71            71            60            89            73             60                 71.0
Lần lấy mẫu giả lập thứ 554              49            60            60            73            69            49            88            55            45             55                 60.3
Lần lấy mẫu giả lập thứ 555              69            49            49            73            60            71            49            71            56             73                 62.0
Lần lấy mẫu giả lập thứ 556              73            45            45            45            60            89            49            60            71             89                 62.6
Lần lấy mẫu giả lập thứ 557              55            89            49            55            89            49            73            55            89             45                 64.8
Lần lấy mẫu giả lập thứ 558              49            73            71            88            56            89            60            89            49             88                 71.2
Lần lấy mẫu giả lập thứ 559              49            71            71            89            73            73            88            89            45             60                 70.8
Lần lấy mẫu giả lập thứ 560              55            73            60            71            45            60            88            89            69             49                 65.9
Lần lấy mẫu giả lập thứ 561              71            88            89            45            71            55            55            55            49             55                 63.3
Lần lấy mẫu giả lập thứ 562              89            71            89            73            56            71            69            49            71             69                 70.7
Lần lấy mẫu giả lập thứ 563              60            71            73            49            69            88            71            45            55             88                 66.9
Lần lấy mẫu giả lập thứ 564              60            56            88            45            55            69            73            69            88             88                 69.1
Lần lấy mẫu giả lập thứ 565              56            60            69            55            89            89            89            89            49             73                 71.8
Lần lấy mẫu giả lập thứ 566              89            45            60            89            49            45            56            88            71             55                 64.7
Lần lấy mẫu giả lập thứ 567              73            45            88            60            56            56            45            88            71             60                 64.2
Lần lấy mẫu giả lập thứ 568              73            88            56            45            45            89            71            71            49             45                 63.2
Lần lấy mẫu giả lập thứ 569              69            60            45            88            55            71            88            56            73             45                 65.0
Lần lấy mẫu giả lập thứ 570              73            71            73            88            55            60            71            69            71             71                 70.2
Lần lấy mẫu giả lập thứ 571              69            88            45            49            45            60            71            73            73             56                 62.9
Lần lấy mẫu giả lập thứ 572              60            73            71            49            56            55            69            60            89             88                 67.0
Lần lấy mẫu giả lập thứ 573              89            88            89            55            56            88            56            88            45             49                 70.3
Lần lấy mẫu giả lập thứ 574              71            45            60            73            89            89            56            73            49             55                 66.0
Lần lấy mẫu giả lập thứ 575              88            73            60            88            45            73            49            56            71             73                 67.6
Lần lấy mẫu giả lập thứ 576              55            73            88            69            88            88            88            71            60             71                 75.1
Lần lấy mẫu giả lập thứ 577              69            49            88            69            73            88            60            60            60             73                 68.9
Lần lấy mẫu giả lập thứ 578              45            69            73            55            60            89            56            49            60             89                 64.5
Lần lấy mẫu giả lập thứ 579              49            73            88            89            49            55            89            60            56             45                 65.3
Lần lấy mẫu giả lập thứ 580              71            73            49            89            49            60            89            49            73             89                 69.1
Lần lấy mẫu giả lập thứ 581              73            49            88            71            49            55            45            73            49             45                 59.7
Lần lấy mẫu giả lập thứ 582              60            71            69            89            71            73            89            73            89             49                 73.3
Lần lấy mẫu giả lập thứ 583              71            45            89            49            73            89            56            49            45             45                 61.1
Lần lấy mẫu giả lập thứ 584              45            88            69            88            60            88            69            88            45             49                 68.9
Lần lấy mẫu giả lập thứ 585              73            55            55            73            49            88            56            49            60             73                 63.1
Lần lấy mẫu giả lập thứ 586              71            55            56            69            88            69            49            73            89             73                 69.2
Lần lấy mẫu giả lập thứ 587              45            45            73            71            55            69            88            73            71             49                 63.9
Lần lấy mẫu giả lập thứ 588              49            56            73            49            55            60            45            73            45             88                 59.3
Lần lấy mẫu giả lập thứ 589              73            45            71            55            56            55            89            89            45             73                 65.1
Lần lấy mẫu giả lập thứ 590              71            45            88            69            71            55            89            49            89             69                 69.5
Lần lấy mẫu giả lập thứ 591              89            73            45            56            89            49            45            73            49             71                 63.9
Lần lấy mẫu giả lập thứ 592              56            45            71            60            88            49            69            71            55             88                 65.2
Lần lấy mẫu giả lập thứ 593              45            88            49            60            49            60            55            60            71             56                 59.3
Lần lấy mẫu giả lập thứ 594              69            88            55            71            49            60            73            69            60             88                 68.2
Lần lấy mẫu giả lập thứ 595              71            88            60            88            45            56            69            49            45             73                 64.4
Lần lấy mẫu giả lập thứ 596              60            88            89            88            60            60            49            71            71             49                 68.5
Lần lấy mẫu giả lập thứ 597              55            60            60            73            71            45            88            45            73             56                 62.6
Lần lấy mẫu giả lập thứ 598              88            45            73            71            56            55            49            71            49             45                 60.2
Lần lấy mẫu giả lập thứ 599              71            88            71            49            45            49            73            73            89             88                 69.6
Lần lấy mẫu giả lập thứ 600              45            45            71            55            60            60            69            89            71             60                 62.5
Lần lấy mẫu giả lập thứ 601              60            56            49            55            73            71            73            69            56             69                 63.1
Lần lấy mẫu giả lập thứ 602              73            56            45            69            49            49            49            60            88             89                 62.7
Lần lấy mẫu giả lập thứ 603              60            55            88            56            55            60            49            88            56             56                 62.3
Lần lấy mẫu giả lập thứ 604              73            71            89            89            49            89            89            55            55             56                 71.5
Lần lấy mẫu giả lập thứ 605              73            69            69            60            45            73            49            69            55             89                 65.1
Lần lấy mẫu giả lập thứ 606              69            45            55            56            88            55            56            89            71             45                 62.9
Lần lấy mẫu giả lập thứ 607              45            69            69            55            45            60            89            89            45             55                 62.1
Lần lấy mẫu giả lập thứ 608              71            69            73            89            45            73            69            45            45             69                 64.8
Lần lấy mẫu giả lập thứ 609              45            69            56            45            49            45            73            49            69             56                 55.6
Lần lấy mẫu giả lập thứ 610              45            55            60            55            89            73            71            89            73             69                 67.9
Lần lấy mẫu giả lập thứ 611              73            88            45            60            56            71            89            60            49             55                 64.6
Lần lấy mẫu giả lập thứ 612              56            89            55            55            88            45            49            73            89             55                 65.4
Lần lấy mẫu giả lập thứ 613              60            45            45            88            60            45            56            49            45             60                 55.3
Lần lấy mẫu giả lập thứ 614              60            73            69            60            89            49            60            55            69             56                 64.0
Lần lấy mẫu giả lập thứ 615              69            69            60            88            55            49            71            89            60             56                 66.6
Lần lấy mẫu giả lập thứ 616              60            71            56            49            45            69            73            56            73             71                 62.3
Lần lấy mẫu giả lập thứ 617              69            49            88            69            88            60            55            88            89             89                 74.4
Lần lấy mẫu giả lập thứ 618              88            55            89            49            89            45            56            89            69             55                 68.4
Lần lấy mẫu giả lập thứ 619              55            60            88            71            88            71            49            69            56             49                 65.6
Lần lấy mẫu giả lập thứ 620              45            71            69            89            69            60            56            60            49             60                 62.8
Lần lấy mẫu giả lập thứ 621              56            89            88            71            69            56            71            71            69             69                 70.9
Lần lấy mẫu giả lập thứ 622              49            45            49            56            69            88            71            55            69             55                 60.6
Lần lấy mẫu giả lập thứ 623              49            69            60            56            69            45            88            88            60             69                 65.3
Lần lấy mẫu giả lập thứ 624              49            56            71            73            45            60            60            73            55             55                 59.7
Lần lấy mẫu giả lập thứ 625              71            69            56            71            71            71            56            49            88             88                 69.0
Lần lấy mẫu giả lập thứ 626              71            55            60            71            45            69            45            55            71             88                 63.0
Lần lấy mẫu giả lập thứ 627              71            69            49            55            69            73            55            60            89             69                 65.9
Lần lấy mẫu giả lập thứ 628              45            73            71            55            71            89            88            88            71             45                 69.6
Lần lấy mẫu giả lập thứ 629              45            60            88            49            71            56            88            55            49             73                 63.4
Lần lấy mẫu giả lập thứ 630              56            45            60            55            49            56            49            88            60             89                 60.7
Lần lấy mẫu giả lập thứ 631              55            60            71            71            56            60            49            71            49             71                 61.3
Lần lấy mẫu giả lập thứ 632              71            45            73            73            49            45            69            49            71             88                 63.3
Lần lấy mẫu giả lập thứ 633              55            56            89            73            56            88            88            60            88             88                 74.1
Lần lấy mẫu giả lập thứ 634              89            56            88            45            56            73            56            71            69             56                 65.9
Lần lấy mẫu giả lập thứ 635              60            73            56            71            49            49            69            89            45             69                 63.0
Lần lấy mẫu giả lập thứ 636              55            55            69            56            88            45            88            45            89             69                 65.9
Lần lấy mẫu giả lập thứ 637              69            56            56            45            56            56            55            71            71             60                 59.5
Lần lấy mẫu giả lập thứ 638              60            69            55            55            60            88            56            60            88             69                 66.0
Lần lấy mẫu giả lập thứ 639              71            49            88            89            89            69            69            89            49             49                 71.1
Lần lấy mẫu giả lập thứ 640              73            89            55            56            49            71            56            56            69             60                 63.4
Lần lấy mẫu giả lập thứ 641              60            88            88            55            71            49            45            69            49             49                 62.3
Lần lấy mẫu giả lập thứ 642              73            73            60            88            45            56            73            71            56             73                 66.8
Lần lấy mẫu giả lập thứ 643              49            71            60            89            60            45            45            73            69             73                 63.4
Lần lấy mẫu giả lập thứ 644              71            60            88            49            60            71            45            71            89             71                 67.5
Lần lấy mẫu giả lập thứ 645              89            45            60            45            71            56            73            73            49             55                 61.6
Lần lấy mẫu giả lập thứ 646              88            45            89            60            88            69            55            73            71             55                 69.3
Lần lấy mẫu giả lập thứ 647              89            88            73            45            89            73            71            89            45             69                 73.1
Lần lấy mẫu giả lập thứ 648              49            49            88            71            55            89            73            45            49             69                 63.7
Lần lấy mẫu giả lập thứ 649              71            89            71            45            45            56            73            56            56             88                 65.0
Lần lấy mẫu giả lập thứ 650              55            88            45            45            88            73            69            71            73             45                 65.2
Lần lấy mẫu giả lập thứ 651              45            49            73            69            55            88            73            71            69             49                 64.1
Lần lấy mẫu giả lập thứ 652              88            88            89            69            88            56            71            73            69             71                 76.2
Lần lấy mẫu giả lập thứ 653              60            71            88            56            60            49            55            71            45             49                 60.4
Lần lấy mẫu giả lập thứ 654              56            73            69            49            73            56            73            89            49             55                 64.2
Lần lấy mẫu giả lập thứ 655              45            60            55            69            89            73            45            60            49             56                 60.1
Lần lấy mẫu giả lập thứ 656              88            45            89            73            60            88            56            89            71             73                 73.2
Lần lấy mẫu giả lập thứ 657              89            55            55            55            69            60            56            45            88             89                 66.1
Lần lấy mẫu giả lập thứ 658              73            89            45            88            89            88            71            56            56             49                 70.4
Lần lấy mẫu giả lập thứ 659              60            73            60            60            60            55            56            49            89             73                 63.5
Lần lấy mẫu giả lập thứ 660              56            71            55            45            56            71            60            69            56             69                 60.8
Lần lấy mẫu giả lập thứ 661              89            71            89            71            60            73            55            69            49             88                 71.4
Lần lấy mẫu giả lập thứ 662              45            73            69            45            73            56            69            45            88             60                 62.3
Lần lấy mẫu giả lập thứ 663              73            56            69            73            60            45            89            69            60             55                 64.9
Lần lấy mẫu giả lập thứ 664              88            45            49            71            55            56            60            56            55             69                 60.4
Lần lấy mẫu giả lập thứ 665              89            73            56            49            60            49            49            56            55             71                 60.7
Lần lấy mẫu giả lập thứ 666              69            88            60            69            71            55            49            55            49             56                 62.1
Lần lấy mẫu giả lập thứ 667              49            88            49            89            88            89            88            45            71             56                 71.2
Lần lấy mẫu giả lập thứ 668              89            45            55            73            71            60            55            55            73             71                 64.7
Lần lấy mẫu giả lập thứ 669              73            73            49            60            55            60            56            69            56             88                 63.9
Lần lấy mẫu giả lập thứ 670              71            73            89            49            49            89            56            88            45             69                 67.8
Lần lấy mẫu giả lập thứ 671              60            60            69            88            56            89            71            73            88             73                 72.7
Lần lấy mẫu giả lập thứ 672              45            56            49            49            60            45            45            89            55             71                 56.4
Lần lấy mẫu giả lập thứ 673              49            71            71            60            45            55            49            45            71             45                 56.1
Lần lấy mẫu giả lập thứ 674              49            45            71            45            55            56            60            60            88             89                 61.8
Lần lấy mẫu giả lập thứ 675              69            55            71            89            56            60            49            56            71             60                 63.6
Lần lấy mẫu giả lập thứ 676              71            60            88            55            49            60            88            89            88             88                 73.6
Lần lấy mẫu giả lập thứ 677              49            49            71            73            55            56            89            49            55             55                 60.1
Lần lấy mẫu giả lập thứ 678              73            55            45            89            49            56            69            73            55             69                 63.3
Lần lấy mẫu giả lập thứ 679              60            89            88            89            60            89            73            89            88             89                 81.4
Lần lấy mẫu giả lập thứ 680              69            89            88            55            71            71            88            88            73             56                 74.8
Lần lấy mẫu giả lập thứ 681              69            56            55            56            60            71            73            45            73             55                 61.3
Lần lấy mẫu giả lập thứ 682              69            88            60            60            55            69            88            60            73             49                 67.1
Lần lấy mẫu giả lập thứ 683              73            88            45            49            60            73            88            55            71             56                 65.8
Lần lấy mẫu giả lập thứ 684              49            89            89            88            73            88            71            73            71             88                 77.9
Lần lấy mẫu giả lập thứ 685              60            56            45            49            89            55            69            60            56             49                 58.8
Lần lấy mẫu giả lập thứ 686              55            69            69            45            60            55            55            55            56             69                 58.8
Lần lấy mẫu giả lập thứ 687              89            69            69            89            49            45            89            49            71             55                 67.4
Lần lấy mẫu giả lập thứ 688              71            45            71            88            60            56            73            45            71             60                 64.0
Lần lấy mẫu giả lập thứ 689              71            88            69            45            60            88            49            49            71             60                 65.0
Lần lấy mẫu giả lập thứ 690              88            56            89            88            45            55            69            60            55             71                 67.6
Lần lấy mẫu giả lập thứ 691              69            69            60            49            89            60            89            49            89             89                 71.2
Lần lấy mẫu giả lập thứ 692              73            55            45            45            55            73            55            71            45             60                 57.7
Lần lấy mẫu giả lập thứ 693              73            60            88            71            60            60            69            55            45             73                 65.4
Lần lấy mẫu giả lập thứ 694              45            88            49            69            69            89            69            71            55             89                 69.3
Lần lấy mẫu giả lập thứ 695              45            71            60            71            60            88            55            73            69             88                 68.0
Lần lấy mẫu giả lập thứ 696              55            89            60            55            69            88            45            73            73             60                 66.7
Lần lấy mẫu giả lập thứ 697              56            49            49            88            71            55            88            45            71             56                 62.8
Lần lấy mẫu giả lập thứ 698              60            69            88            55            71            55            71            56            69             56                 65.0
Lần lấy mẫu giả lập thứ 699              56            73            55            88            56            55            73            71            88             60                 67.5
Lần lấy mẫu giả lập thứ 700              49            55            69            73            49            69            56            71            56             55                 60.2
Lần lấy mẫu giả lập thứ 701              89            73            55            88            69            49            73            89            88             49                 72.2
Lần lấy mẫu giả lập thứ 702              60            56            89            88            89            73            56            73            88             60                 73.2
Lần lấy mẫu giả lập thứ 703              73            45            73            69            45            60            56            49            45             89                 60.4
Lần lấy mẫu giả lập thứ 704              49            88            69            71            56            73            55            71            69             60                 66.1
Lần lấy mẫu giả lập thứ 705              89            49            49            60            71            55            60            69            45             88                 63.5
Lần lấy mẫu giả lập thứ 706              88            69            49            45            71            71            71            73            88             71                 69.6
Lần lấy mẫu giả lập thứ 707              55            49            89            60            73            49            45            89            89             89                 68.7
Lần lấy mẫu giả lập thứ 708              55            71            73            73            71            49            69            71            55             89                 67.6
Lần lấy mẫu giả lập thứ 709              73            88            71            88            60            56            56            89            49             56                 68.6
Lần lấy mẫu giả lập thứ 710              49            88            88            60            71            45            49            88            88             49                 67.5
Lần lấy mẫu giả lập thứ 711              60            60            56            89            49            60            56            89            55             69                 64.3
Lần lấy mẫu giả lập thứ 712              88            56            88            73            89            60            56            88            45             69                 71.2
Lần lấy mẫu giả lập thứ 713              56            56            89            88            45            69            88            88            60             71                 71.0
